,time_window,abnormality_value,method,cost_sensitivity,valid_specificity,valid_sensitivity,valid_accuracy,valid_gmean,itest_specificity,itest_sensitivity,itest_accuracy,itest_gmean,btest_specificity,btest_sensitivity,btest_accuracy,btest_gmean
0,50,0.23,MRDS,True,0.6189473867416382,0.5,0.6129999756813049,0.5563035607337952,0.5747368335723877,0.3400000035762787,0.5630000233650208,0.44205260276794434,0.6299999952316284,0.3319999873638153,0.48100000619888306,0.4573401212692261
1,50,0.23,conventional,True,0.645263135433197,0.7200000286102295,0.6489999890327454,0.6816080212593079,0.6852631568908691,0.3799999952316284,0.6700000166893005,0.5102940201759338,0.6740000247955322,0.3319999873638153,0.503000020980835,0.47304120659828186
2,50,0.38,MRDS,True,0.785263180732727,0.3199999928474426,0.7620000243186951,0.5012825727462769,0.7789473533630371,0.18000000715255737,0.7490000128746033,0.37444695830345154,0.7699999809265137,0.2680000066757202,0.5189999938011169,0.4542686343193054
3,50,0.38,conventional,True,0.7357894778251648,0.47999998927116394,0.7229999899864197,0.5942885875701904,0.75789475440979,0.3400000035762787,0.7369999885559082,0.5076260566711426,0.7919999957084656,0.22599999606609344,0.5090000033378601,0.4230744540691376
4,50,0.53,MRDS,True,0.8684210777282715,0.36000001430511475,0.8429999947547913,0.5591346621513367,0.8578947186470032,0.4000000059604645,0.8349999785423279,0.5857967734336853,0.8740000128746033,0.27799999713897705,0.5759999752044678,0.4929218888282776
5,50,0.53,conventional,True,0.8473684191703796,0.4399999976158142,0.8270000219345093,0.6106079816818237,0.8926315903663635,0.25999999046325684,0.8610000014305115,0.4817511737346649,0.8820000290870667,0.17599999904632568,0.5289999842643738,0.39399492740631104
6,50,0.755,MRDS,True,0.942105233669281,0.36000001430511475,0.9129999876022339,0.5823726654052734,0.9315789341926575,0.3199999928474426,0.9010000228881836,0.5459901094436646,0.9599999785423279,0.2879999876022339,0.6240000128746033,0.525813639163971
7,50,0.755,conventional,True,0.917894721031189,0.4399999976158142,0.8939999938011169,0.6355105638504028,0.9052631855010986,0.3199999928474426,0.8759999871253967,0.538223147392273,0.9100000262260437,0.16200000047683716,0.5360000133514404,0.38395312428474426
8,50,0.83,MRDS,True,0.961052656173706,0.47999998927116394,0.9369999766349792,0.6791945695877075,0.9536842107772827,0.25999999046325684,0.9190000295639038,0.4979536831378937,0.9559999704360962,0.3240000009536743,0.6399999856948853,0.5565465092658997
9,50,0.83,conventional,True,0.906315803527832,0.6200000047683716,0.8920000195503235,0.7496104836463928,0.9736841917037964,0.30000001192092896,0.9399999976158142,0.5404676198959351,0.9440000057220459,0.19599999487400055,0.5699999928474426,0.43014416098594666
10,50,0.905,MRDS,True,0.9210526347160339,0.5600000023841858,0.902999997138977,0.7181848287582397,0.9021052718162537,0.5199999809265137,0.8830000162124634,0.6849048733711243,0.8939999938011169,0.5820000171661377,0.7379999756813049,0.7213237881660461
11,50,0.905,conventional,True,0.9652631282806396,0.6800000071525574,0.9509999752044678,0.8101721405982971,0.961052656173706,0.11999999731779099,0.9190000295639038,0.33959728479385376,0.9520000219345093,0.1679999977350235,0.5600000023841858,0.3999199867248535
12,50,1.355,MRDS,True,0.9778947234153748,0.7200000286102295,0.9649999737739563,0.839097261428833,0.9831578731536865,0.9399999976158142,0.9810000061988831,0.9613367915153503,0.9879999756813049,0.8799999952316284,0.9340000152587891,0.9324376583099365
13,50,1.355,conventional,True,0.9884210228919983,0.699999988079071,0.9739999771118164,0.8318020701408386,0.9915789365768433,0.36000001430511475,0.9599999785423279,0.5974683165550232,0.9900000095367432,0.48399999737739563,0.7369999885559082,0.6922138333320618
14,50,1.58,MRDS,True,0.9989473819732666,0.7400000095367432,0.9860000014305115,0.8597796559333801,0.996842086315155,0.6600000262260437,0.9800000190734863,0.8111200928688049,0.9980000257492065,0.6000000238418579,0.7990000247955322,0.7738217115402222
15,50,1.58,conventional,True,0.9989473819732666,0.7400000095367432,0.9860000014305115,0.8597796559333801,0.9989473819732666,0.5,0.9739999771118164,0.7067345380783081,1.0,0.35600000619888306,0.6779999732971191,0.5966573357582092
16,50,1.805,MRDS,True,1.0,0.800000011920929,0.9900000095367432,0.8944271802902222,1.0,0.8799999952316284,0.9940000176429749,0.9380831122398376,1.0,0.949999988079071,0.9750000238418579,0.9746794104576111
17,50,1.805,conventional,True,0.9989473819732666,0.800000011920929,0.9890000224113464,0.8939563035964966,0.9947368502616882,0.6800000071525574,0.9789999723434448,0.822448194026947,0.9940000176429749,0.6320000290870667,0.8130000233650208,0.7925957441329956
18,100,0.23,MRDS,True,0.6652631759643555,0.5199999809265137,0.6579999923706055,0.5881639122962952,0.6926316022872925,0.25999999046325684,0.6710000038146973,0.42436328530311584,0.7099999785423279,0.3659999966621399,0.5379999876022339,0.5097646117210388
19,100,0.23,conventional,True,0.6863157749176025,0.5400000214576721,0.6790000200271606,0.6087778806686401,0.7231578826904297,0.4000000059604645,0.7070000171661377,0.5378319025039673,0.7360000014305115,0.2879999876022339,0.5120000243186951,0.4603998064994812
20,100,0.38,MRDS,True,0.4263157844543457,0.6200000047683716,0.4359999895095825,0.5141165256500244,0.3810526430606842,0.5,0.3869999945163727,0.4364931881427765,0.42399999499320984,0.7039999961853027,0.5640000104904175,0.5463478565216064
21,100,0.38,conventional,True,0.7242105007171631,0.5199999809265137,0.7139999866485596,0.6136687994003296,0.6747368574142456,0.25999999046325684,0.6539999842643738,0.418845534324646,0.6959999799728394,0.24400000274181366,0.4699999988079071,0.41209709644317627
22,100,0.53,MRDS,True,0.9210526347160339,0.36000001430511475,0.8930000066757202,0.5758289098739624,0.9252631664276123,0.30000001192092896,0.8939999938011169,0.5268576145172119,0.9259999990463257,0.3059999942779541,0.6159999966621399,0.5323119163513184
23,100,0.53,conventional,True,0.8021052479743958,0.6800000071525574,0.7960000038146973,0.7385333776473999,0.8157894611358643,0.23999999463558197,0.7870000004768372,0.44248104095458984,0.8100000023841858,0.26600000262260437,0.5379999876022339,0.4641766846179962
24,100,0.755,MRDS,True,0.9568421244621277,0.6600000262260437,0.9419999718666077,0.7946797013282776,0.9568421244621277,0.6200000047683716,0.9399999976158142,0.7702221274375916,0.9459999799728394,0.527999997138977,0.7369999885559082,0.7067446708679199
25,100,0.755,conventional,True,0.8999999761581421,0.6600000262260437,0.8880000114440918,0.7707139253616333,0.9052631855010986,0.18000000715255737,0.8690000176429749,0.4036674201488495,0.8700000047683716,0.25999999046325684,0.5649999976158142,0.4756048619747162
26,100,0.83,MRDS,True,0.9747368693351746,0.4399999976158142,0.9480000138282776,0.6548925042152405,0.9705263376235962,0.3799999952316284,0.9409999847412109,0.6072890758514404,0.9679999947547913,0.49000000953674316,0.7289999723434448,0.6887089014053345
27,100,0.83,conventional,True,0.8336842060089111,0.5799999833106995,0.8209999799728394,0.6953681111335754,0.8442105054855347,0.36000001430511475,0.8199999928474426,0.5512855648994446,0.8339999914169312,0.41999998688697815,0.6269999742507935,0.5918445587158203
28,100,0.905,MRDS,True,0.8873684406280518,0.800000011920929,0.8830000162124634,0.8425525426864624,0.8768420815467834,0.6800000071525574,0.8669999837875366,0.7721739411354065,0.8820000290870667,0.8140000104904175,0.8479999899864197,0.8473181128501892
29,100,0.905,conventional,True,0.917894721031189,0.6399999856948853,0.9039999842643738,0.7664545774459839,0.9157894849777222,0.20000000298023224,0.8799999952316284,0.4279695153236389,0.8939999938011169,0.23600000143051147,0.5649999976158142,0.4593299627304077
30,100,1.355,MRDS,True,1.0,0.8999999761581421,0.9950000047683716,0.9486832618713379,0.9957894682884216,0.7200000286102295,0.9819999933242798,0.8467398881912231,1.0,0.8259999752044678,0.9129999876022339,0.9088454246520996
31,100,1.355,conventional,True,0.9957894682884216,0.9200000166893005,0.9919999837875366,0.9571448564529419,0.9936842322349548,0.5400000214576721,0.9710000157356262,0.73252272605896,0.9779999852180481,0.621999979019165,0.800000011920929,0.7799460887908936
32,100,1.58,MRDS,True,0.9905263185501099,0.8799999952316284,0.9850000143051147,0.933629035949707,0.9957894682884216,0.9200000166893005,0.9919999837875366,0.9571448564529419,0.9919999837875366,0.843999981880188,0.9179999828338623,0.915012538433075
33,100,1.58,conventional,True,0.996842086315155,0.9200000166893005,0.9929999709129333,0.9576506018638611,0.9715789556503296,0.46000000834465027,0.9459999799728394,0.6685254573822021,0.9660000205039978,0.40400001406669617,0.6850000023841858,0.6247111558914185
34,100,1.805,MRDS,True,1.0,0.9599999785423279,0.9980000257492065,0.9797958731651306,1.0,0.8199999928474426,0.9909999966621399,0.9055384993553162,1.0,0.9139999747276306,0.9570000171661377,0.95603346824646
35,100,1.805,conventional,True,0.9989473819732666,1.0,0.9990000128746033,0.9994735717773438,0.9989473819732666,0.6200000047683716,0.9800000190734863,0.7869862914085388,1.0,0.6399999856948853,0.8199999928474426,0.800000011920929
